,similarity
0,0.7651831122838377
1,0.5488968801683796
2,0.5487248656541577
3,0.5439267013167006
4,0.5277215445225423
5,0.5219731650284865
6,0.518315099447133
7,0.5132689524997724
8,0.5127321948470105
9,0.5124282809390832
10,0.5064678806706264
11,0.5038315116788952
12,0.5024919550838334
13,0.5021444278532912
14,0.4994322530575783
15,0.4984528315654657
16,0.4959366573811703
17,0.49568225889240947
18,0.4943407044484853
19,0.490870930069752
20,0.48765675271900144
21,0.48498708464188733
22,0.4848456381663382
23,0.48303984710637415
24,0.479798218265842
25,0.4788404016891832
26,0.4788086491533252
27,0.4781421627319742
28,0.4781049754223752
29,0.4768312692646999
30,0.47539999240951203
31,0.47530726372602095
32,0.4749782474798516
33,0.4747890684560412
34,0.47221653947374076
35,0.4715712296574144
36,0.4713908220449561
37,0.4709870170411157
38,0.47095768771692903
39,0.47051539754875105
40,0.4695171580672397
41,0.4679267842629524
42,0.45815983642185154
43,0.4580148553308634
44,0.45632920894493667
45,0.4540886336039971
46,0.446536119207527
47,0.4453741596349612
48,0.43398352762484493
49,0.43356639466288893
50,0.42809625956386976
51,0.4249353016711972
52,0.424289620931364
53,0.41860740668351126
54,0.4146004278036237
55,0.41403356165760496
56,0.4127988213176712
57,0.4062621056878968
58,0.4029143951485459
59,0.397938641021796
60,0.39785558076675365
61,0.3931309927522306
62,0.3911874944041678
63,0.38989304937825864
64,0.3857712544772902
65,0.38572442413149033
66,0.3810165758166457
67,0.3801285266665546
68,0.37753067364584814
69,0.3770313092485982
70,0.368457632425387
71,0.36761223046221336
72,0.3653718888169757
73,0.36078211141071126
74,0.360339073552999
75,0.3556234973254253
76,0.3536885574296904
77,0.35312236340982883
78,0.3512659989570961
79,0.3508481307212721
80,0.350660029000875
81,0.3469960736206601
82,0.34512687763008576
83,0.34449090033851126
84,0.3434307875966387
85,0.34215697212206897
86,0.3399795809739439
87,0.338083850917533
88,0.33467972534346413
89,0.3332447872954276
90,0.3328303350544515
91,0.3312911947982322
92,0.33118418422687146
93,0.3274540874435605
94,0.3266875432743621
95,0.32539846082855317
96,0.32489786405942755
97,0.3225640490582431
98,0.3216313456777522
99,0.31943206292820414
100,0.31853188539968325
101,0.31763831545852583
102,0.31700198724317885
103,0.31684174125440756
104,0.31397246167434334
105,0.31341707317609013
106,0.31190781397020073
107,0.31126752685687764
108,0.3110454141199097
109,0.30931805307217597
110,0.3085027177048032
111,0.3083302845690019
112,0.3077580301752505
113,0.3075567840350846
114,0.30752747622095233
115,0.3074171867923594
116,0.3065275551889355
117,0.3049405509561276
118,0.3030583218841141
119,0.302558068305782
120,0.30242109509538384
121,0.301298969289965
122,0.3003857945242936
123,0.30008218734509895
124,0.29804070278162964
125,0.2961102794765935
126,0.29472833704513635
127,0.29176888230509523
128,0.2913877648085952
129,0.29050130873307567
130,0.2898206129041214
131,0.2893721654571848
132,0.28829358590153475
133,0.28611492832164154
134,0.28456488964509785
135,0.283849671575646
136,0.2832642543095134
137,0.2831185960047129
138,0.28187306657405675
139,0.28054129187110277
140,0.2798499982985301
141,0.2776056081253311
142,0.2773095626252384
143,0.2753081930154371
144,0.27518203119715356
145,0.2746211998925787
146,0.2739704153201712
147,0.2721586886075351
148,0.27074852637986546
149,0.2698434010805353
150,0.26936293465475747
151,0.26927471558055416
152,0.2681293624330816
153,0.26807586233938907
154,0.2675114840302979
155,0.26638319768093766
156,0.26596919290985777
157,0.26565654393539084
158,0.2655025626634002
159,0.2631518774658468
160,0.26234508490321007
161,0.26198402216314065
162,0.25961778802813784
163,0.25276725908896847
164,0.2515678966077637
165,0.2509143827132667
166,0.25009636953953107
167,0.25008004063344713
168,0.24916702429221815
169,0.24854586779266175
170,0.24365608052100396
171,0.24329101621230165
172,0.2375413504319499
173,0.2365643663359449
174,0.23526633608838154
175,0.23513981984756027
176,0.2341026072122876
177,0.23131959956860149
178,0.230116967369419
179,0.23009896961290988
180,0.22741449391706414
181,0.2267237538131217
182,0.22552809594148737
183,0.22307893881471652
184,0.2195244272108945
185,0.2194489652405165
186,0.21934179293125755
187,0.21641044954870914
188,0.21587488550854328
189,0.2152313577720255
190,0.21514284105783732
191,0.21355605735013738
192,0.21275572648274244
193,0.21157785388364125
194,0.21141062326425764
195,0.2101038560892985
196,0.20942563363606093
197,0.20880261009294188
198,0.2079307568699127
199,0.20721996607335313
200,0.2062346467457934
201,0.20436118647276635
202,0.20356027016497524
203,0.20298756932943496
204,0.20243485512747528
205,0.20041180787207158
206,0.19775374332245077
207,0.19738014735751452
208,0.19683927044538563
209,0.19592170302770096
210,0.1953879117159325
211,0.1945402246873318
212,0.19445548543013058
213,0.19438248673190883
214,0.19417783739524408
215,0.1923190662690446
216,0.19228164818328652
217,0.19193096076026683
218,0.19186672923606718
219,0.19185792897269005
220,0.19181535836004815
221,0.19176207840087955
222,0.1917077608294584
223,0.19152963619897934
224,0.19120039649060327
225,0.19009634140878884
226,0.1895248971046979
227,0.18923989932873653
228,0.188346419200633
229,0.18783362325364883
230,0.18780627566683394
231,0.18746137310829303
232,0.18639254495773527
233,0.18589677451747022
234,0.18481394864411138
235,0.18473822979985943
236,0.1847371461961378
237,0.18425012465689905
238,0.18406581494769014
239,0.18400930123663328
240,0.1815396861682863
241,0.18049513300185138
242,0.17983378222638735
243,0.17877877471524206
244,0.17849552414309344
245,0.1782190728498394
246,0.17692107776537935
247,0.1769012582160352
248,0.17670526039694723
249,0.17635604459920406
250,0.17503441577592915
251,0.17480546141679
252,0.17317713502375387
253,0.17241335202266828
254,0.17188034085969983
255,0.1716754055297378
256,0.17116191062951858
257,0.16954030382074858
258,0.16943076627548193
259,0.1694118706719543
260,0.1690633668121866
261,0.1671614754895192
262,0.16579591730002097
263,0.16500972443880535
264,0.16475685927490513
265,0.16446969225582997
266,0.16344193043673694
267,0.16298068721261472
268,0.16269104173740967
269,0.1622262740098417
270,0.16164733393908737
271,0.1615717859177057
272,0.16136026448486596
273,0.16116853836966816
274,0.16081945368970674
275,0.16044386571408187
276,0.15981180434954556
277,0.15874580350679945
278,0.1587456139387995
279,0.15837138916549187
280,0.1576391491425897
281,0.15726923174694374
282,0.1565365762590354
283,0.15647009453427363
284,0.15604151759320373
285,0.15551932294541126
286,0.1552136377854223
287,0.15487170614936407
288,0.15479398192680294
